Source,Type,Target,Weight
Валерия,Undirected,Вера,3
Валерия,Undirected,Галина,3
Валерия,Undirected,Зилов,3
Валерия,Undirected,Ирина,3
Валерия,Undirected,Кузаков,3
Валерия,Undirected,Кушак,3
Валерия,Undirected,Мальчик,1
Валерия,Undirected,Официант,3
Валерия,Undirected,Саяпин,3
Вера,Undirected,Галина,3
Вера,Undirected,Зилов,3
Вера,Undirected,Ирина,3
Вера,Undirected,Кузаков,3
Вера,Undirected,Кушак,3
Вера,Undirected,Мальчик,1
Вера,Undirected,Официант,3
Вера,Undirected,Саяпин,3
Галина,Undirected,Зилов,5
Галина,Undirected,Ирина,4
Галина,Undirected,Кузаков,3
Галина,Undirected,Кушак,3
Галина,Undirected,Мальчик,1
Галина,Undirected,Официант,3
Галина,Undirected,Саяпин,3
Зилов,Undirected,Ирина,5
Зилов,Undirected,Кузаков,3
Зилов,Undirected,Кушак,4
Зилов,Undirected,Мальчик,1
Зилов,Undirected,Официант,3
Зилов,Undirected,Саяпин,4
Ирина,Undirected,Кузаков,3
Ирина,Undirected,Кушак,4
Ирина,Undirected,Мальчик,1
Ирина,Undirected,Официант,3
Ирина,Undirected,Саяпин,4
Кузаков,Undirected,Кушак,3
Кузаков,Undirected,Мальчик,1
Кузаков,Undirected,Официант,3
Кузаков,Undirected,Саяпин,3
Кушак,Undirected,Мальчик,1
Кушак,Undirected,Официант,3
Кушак,Undirected,Саяпин,4
Мальчик,Undirected,Официант,1
Мальчик,Undirected,Саяпин,1
Официант,Undirected,Саяпин,3
